français,arabe,transcription,pronociation
je ,أنا ,ʾana ,[ʔænæ] 
"tu, vous (formel) ",أنت ; أنت ,"ʾanta (M), ʾanti (F) ","[ʔæntæ (M), ʔæntı (F)] "
il ,هو ,huwa ,[hʊwæ] 
nous ,نحن ,naḥnu ,[næħnʊ] 
vous (pluriel) ,انتم ; انتن ; انتما ,"ʾantum (M), ʾantunna (F), ʾantumā (Duel) ","[ʔæntʊm (M), ʔæntʊnːæ (F), ʔæntʊmæː (duel)] "
ils ,هم ; هن ; هما ,"hum (M), hunna (F), humā (Duel) ","[hʊmː (M), hʊnːæ (F), hʊmæː (duel)] "
"ceci, celui-ci ",هذا ; هذﻩ ; ﻫﺬﻯ ,"hāḏā (M), hāḏihi, hāḏī (F) ","[hæːðæː , ,] "
"cela, celui-là ",ذلك ; ﺫﺍﻙ ; تلك ; تاك ,"ḏālika, ḏāka (M), tilka, tāka (F), ","[ðæːlıkæ , , ] "
ici ,هنا ,hunā ,[hʊnæː] 
là ,هناك ; هنالك ,"hunāka, hunālika ","[hʊnæːk ,] "
qui ,من ,man ,[mæn] 
quoi ,ما ; ماذا ,"mā, māḏā ","[mæː, mæːðæː] "
où ,اين ,ʾayna ,[ʔɛ̈ınæ] 
quand ,متى ,matā ,[mætæː] 
comment ,كيف ,kayfa ,[kɛ̈ıfæ] 
ne ... pas ,ما ; لا ; لم ,"mā (passé), lā (présent), lam (perfectif) ","[mæ: ,læː, læm] "
tout ,كل ,kull ,[kʊlː] 
beaucoup ,كثير ,kaṯīr ,[kæθiːr] 
quelques ,بعض ,baʿḍ ,[bæʕdˤ] 
peu ,قليل ,qalīl ,[qɑliːl] 
autre ,آخر ; اخرى ; اخر ,"ʾāḫar (M), ʾuḫrā (F), ʾuḫar (Pl) ","[ʔæːxær , ,] "
un ,واحد ; واحدة ,"wāḥid (M), waḥda (F) ","[wæːħıd ,] "
deux ,اثنان ; اثنين ; اثنتان ; اثنتين ,"ʾiṯnān, ʾiṯnayn (M), ʾiṯnatān, ʾiṯnatayn (F) ","[(ʔı)θnæːn , , ,] "
trois ,ثلاثة ; ثلاث ,"ṯalāṯa (M), ṯalāṯ (F) ","[θælæːθæ ,] "
quatre ,أربعة ; اربع ,"ʾarbaʿa (M), ʾarbaʿ (F) ","[ʔɑrbæʕæ ,] "
cinq ,خمسة ; خمس ,"ḫamsa (M), ḫams (F) ","[xæmsæ ,] "
grand ,كبير ,kabīr ,[kæbiːr] 
long ,طويل ,ṭawīl ,[tˤɑwiːl] 
large ,واسع ,wāsiʿ ,[wæːsıʕ] 
épais ,سميك ,samīk ,[sæmiːk] 
lourd ,ثقيل ,ṯaqīl ,[θæqiːl] 
petit ,صغير ,ṣaġīr ,[sˤɑɣiːr] 
court ,قصير ,qaṣīr ,[qɑsˤiːr] 
étroit ,ضيق ,ḍayyiq ,[dˤɑjːıq] 
mince ,رقيق ,raqīq ,[rɑqiːq] 
femme ,امرأة ,ʾimraʾa ,[(ʔı)mrɑʔæ] 
homme (mâle adulte) ,رجل ,raǧul ,[rɑʤʊl] 
homme (être humain) ,انسان ,ʾinsān ,[ʔınsæːn] 
enfant ,طفل ,ṭifl ,[tˤıfl] 
femme (épouse) ,زوجة ,zawǧa ,[zɛ̈ʊʤæ] 
mari ,زوج ,zawǧ ,[zɛ̈ʊʤ] 
mère ,أم ,ʾumm ,[ʔʊmː] 
père ,أب ,ʾab ,[ʔæb] 
animal ,حيوان ,ḥayawān ,[ħæjæwæːn] 
poisson ,سمكة ,samaka ,[sæmæk] 
oiseau ,طير ; عصفور ,"ṭayr, ʿaṣfūr ","[tˤɑır ,] "
chien ,كلب ,kalb ,[kælb] 
pou ,قملة ,qamla ,[qɑmlæ] 
serpent ,ثعبان ,ṯuʿbān ,[] 
ver ,دودة ,dūda ,[duːdæ] 
arbre ,شجرة ,šaǧara ,[ʃæʤɑrɑ] 
forêt ,غابة ,ġāba ,[ɣɑːbæ] 
bâton ,عصا ,ʿaṣā ,[] 
fruit ,فاكهة ,fākiha ,[fæːkıhæ] 
graine ,بذرة ,baḏra ,[bɪðrɑ] 
feuille (d'un végétal) ,ورقة ,waraqa ,[wæræqæ] 
racine ,جذر ,ǧiḏr ,[dʒæðr] 
écorce ,قشر ,qišr ,[] 
fleur ,زهرة ,zahra ,[zæhræ] 
herbe ,حشيش ,ḥašīš ,[ħæʃiːʃ] 
corde ,حبل ,ḥabl ,[ħæbl] 
peau ,جلد ,ǧild ,[dʒɪld] 
viande ,لحم ,laḥm ,[læħm] 
sang ,دم ,damm ,[dæm] 
os ,عظم ,ʿaẓm ,[ʕɑðˁm] 
graisse ,دهن ,duhn ,[] 
œuf ,بيضة ,bayḍa ,[bæɪdˤ] 
corne ,قرن ,qarn ,[qɑrn] 
queue (d'un animal) ,ذنب ,ḏanab ,[] 
plume (d'un oiseau) ,ريشة ,rīsha ,[riːʃæ] 
cheveux ,شعر ,šaʿr ,[ʃæʕr] 
tête ,رأس ,raʾs ,[rɑʔs] 
oreille ,أذن ,ʾuḏun ,[ʔʊðʊn] 
œil ,عين ,ʿayn ,[ʕæɪn] 
nez ,انف ,ʾanf ,[ʔænf] 
bouche ,فم ,fam ,[fæm] 
dent ,سن ,sinn ,[sɪnː] 
langue (organe) ,لسان ,lisān ,[lɪsæːn] 
ongle ,ظفر ,ẓufr ,[ðˁʊfr] 
pied ,قدم ,qadam ,[qɑdɑm] 
jambe ,رجل ,riǧl ,[] 
genou ,ركبة ,rukba ,[rʊkbæ] 
main ,يد ,yad ,[jæd] 
aile ,جناح ,ǧanāḥ ,[dʒænæːħ] 
ventre ,بطن ,baṭn ,[bɑtˁn] 
"entrailles, intestins ",امعاء ,ʾamʿāʾ ,[ʔæmæːʔ] 
cou ,رقبة ,raqaba ,[] 
dos ,ظهر ,ẓahr ,[ðˤɑhr] 
poitrine ,صدر ,ṣadr ,[sˤɑdr] 
cœur (organe) ,قلب ,qalb ,[qɑlb] 
foie ,كبد ,kibd ,[kæbd] 
boire ,شرب ,šariba ,[ʃærɪbæ] 
manger ,اكل ,ʾakala ,[ʔækælæ] 
mordre ,عض ,ʿaḍḍa ,[ʕɑdˁːɑ] 
sucer ,مص ,maṣṣa ,[] 
cracher ,بصق ,baṣaqa ,[] 
vomir ,تقيأ ,taqayyaʾ ,[] 
souffler ,نفخ ,nafaḫa ,[] 
respirer ,تنفس ,tanaffasa ,[] 
rire ,ضحك ,ḍaḥika ,[dˤæħɪkæ] 
voir ,رأى ,raʾā ,[ræʔæː] 
entendre ,سمع ,samiʿa ,[sæmɪʕæ] 
savoir ,عرف ,ʿarafa ,[] 
penser ,فكر ,fakkara ,[fækːæræ] 
sentir (odorat) ,شم ,šamma ,[ʃæmːæ] 
craindre ,خاف ,ḫāfa ,[χɑːf] 
dormir ,نام ,nāma ,[næːm] 
vivre ,عاش ,ʿāša ,[ʕæːʃ] 
mourir ,مات ,māta ,[mæːt] 
tuer ,قتل ,qatala ,[qɑtælæ] 
se battre ,قاتل ,qātala ,[] 
chasser (le gibier) ,صاد ,ṣāda ,[] 
frapper ,ضرب ,ḍaraba ,[dˤɑrɑbæ] 
couper ,قطع ,qaṭaʿa ,[] 
fendre ,شق ,šaqqa ,[] 
poignarder ,طعن ,ṭaʿana ,[] 
gratter ,خربش ,ḫarbaša ,[] 
creuser ,حفر ,ḥafara ,[] 
nager ,سبح ,sabaḥa ,[] 
voler (dans l'air) ,طار ,ṭāra ,[tˤɑːr] 
marcher ,مشى ,mašā ,[mæʃæː] 
venir ,جاء ,ǧāʾa ,[dʒæːʔæ] 
"s'étendre, être étendu ",رقد ,raqada ,[] 
"s'asseoir, être assis ",جلس ,ǧalasa ,[dʒælɪsæ] 
"se lever, se tenir debout ",وقف ,waqafa ,[] 
tourner (intransitif) ,دار ,dāra ,[dɑːr] 
tomber ,وقع ,waqaʿa ,[] 
donner ,اعطى ,ʾaʿṭā ,[] 
tenir ,مسك ,masaka ,[] 
"serrer, presser ",عصر ,ʿaṣara ,[] 
frotter ,حك ,ḥakka ,[] 
laver ,غسل ,ġasala ,[] 
essuyer ,مسح ,masaḥa ,[] 
tirer ,جر ,ǧarra ,[] 
pousser ,دفع ,dafaʿa ,[] 
"jeter, lancer ",رمى ,ramā ,[] 
lier ,ربط ,rabaṭa ,[] 
coudre ,خيط ,ḫayyaṭa ,[] 
compter ,عد ,ʿadda ,[] 
dire ,قال ,qāla ,[qɑːlæ] 
chanter ,غنى ,ġannā ,[ɣænːæː] 
jouer (s'amuser) ,لعب ,laʿiba ,[] 
flotter ,عام ,ʿāma ,[] 
couler (liquide) ,تدفق ,tadaffaqa ,[] 
geler ,جمد ,ǧammada ,[] 
gonfler (intransitif) ,ورم ,warima ,[ 
soleil ,شمس ,šams ,[ʃæms] 
lune ,قمر ,qamar ,[qɑmɑr] 
étoile ,نجمة ,naǧma ,[nædʒm] 
eau ,ماء ,māʾ ,[mæːʔ] 
pluie ,مطر ,maṭar ,[] 
rivière ,نهر ,nahr ,[næhr] 
lac ,بحيرة ,buḥayra ,[] 
mer ,بحر ,baḥr ,[] 
sel ,ملح ,milḥ ,[] 
pierre ,حجر ,ḥaǧar ,[] 
sable ,رمل ,raml ,[] 
poussière ,غبار ,ġubār ,[] 
terre (sol) ,أرض ,ʾarḍ ,[ʔɑrdˤ] 
nuage ,سحابة ,saḥāba ,[] 
brouillard ,ضباب ,ḍabāb ,[] 
ciel ,سماء ,samāʾ ,[sæmæːʔ] 
vent ,ريح ,rīḥ ,[] 
neige ,ثلج ,ṯalǧ ,[θældʒ] 
glace ,ثلج ,ṯalǧ ,[] 
fumée ,دخان ,duḫān ,[] 
feu ,نار ,nār ,[] 
cendre ,رماد ,ramād ,[] 
brûler (intransitif) ,حرق ,ḥaraqa ,[] 
route ,طريق ,ṭarīq ,[] 
montagne ,جبل ,ǧabal ,[] 
rouge ,احمر ; حمراء ,"ʾaḥmar (M), ḥamrāʾ (F) ",[] 
vert ,أخضر ; خضراء ,"ʾaḫḍar (M), ḫaḍrāʾ (F) ",[] 
jaune ,أصفر ; صفراء ,"ʾaṣfar (M), ṣafrāʾ (F) ",[] 
blanc ,أبيض ; بيضاء ,"ʾabyaḍ (M), bayḍāʾ (F) ",[] 
noir ,أسود ; سوداء ,"ʾaswad (M), sawdāʾ (F) ",[] 
nuit ,ليل ,layl ,[] 
jour ,يوم ,yawm ,[] 
"an, année ",سنة ,sana ,[] 
chaud (température) ,دافئ ,dāfiʾ ,[] 
froid (température) ,بارد ,bārid ,[] 
plein ,ممتلئ ,mumtaliʾ ,[mʊmtælɪʔ] 
nouveau ,جديد ,ǧadīd ,[] 
vieux ,قديم ,qadīm ,[] 
bon ,طيب ,ṭayyib ,[] 
mauvais ,سيء ,sayyiʾ ,[] 
pourri ,متعفن ,mutaʿaffin ,[] 
sale ,قذر ; وسخ ,"qaḏir, wasiḫ ",[] 
droit (rectiligne) ,مستقيم ,mustaqīm ,[] 
rond ,مستدير ,mustadīr ,[] 
tranchant ,حاد ,ḥādd ,[] 
émoussé ,غير حاد ,ġair ḥādd ,[] 
lisse ,ناعم ,nāʿim ,[] 
"mouillé, humide ",مبلول ,mablūl ,[mʊbælːæl] 
sec ,جاف ,ǧaff ,[dʒæːfː] 
"juste, correct ",صحيح ,ṣaḥīḥ ,[sˤæħiːħ] 
près ,قريب ,qarīb ,[qæriːb] 
loin ,بعيد ,baʿīd ,[bæʕiːd] 
droite ,يمين ,yamīn ,[] 
gauche ,يسار ,yasār ,[] 
à ,عند ,ʿind ,[] 
dans ,في ; ب ,"fī, bi- ",[] 
avec (ensemble) ,مع ; ب ,"maʿa, bi- ","[mæʕæ, bɪ] "
et ,و ,wa ,[wæ] 
si (condition) ,لو ; اذا ; ان ,"law, ʾiḏā, ʾin ","[læw, ʔɪðæː, ʔɪn] "
parce que ,بسبب ; لأنّ ,"bi-sabab, liʾanna ","[bɪsæbæb, lɪʔænːæ,] "
nom ,اسم ,ʾism ,[(ʔɪ)sm]
